1;Betula pendula;Gemeine Birke;Birch;r6
2;Fagus sylvatica;Rotbuche;Beech;r6
3;Pseudotsuga menziesii;Gewöhnliche Douglasie;Douglas fir;r6
4;Quercus robur, Quercus pubescens;Eiche;Oak;r6
5;Alnus glutinosa;Schwarz-Erle;Alder;r6
6;Picea abies;Gemeine Fichte;Spruce;r6
7;Pinus sylvestris;Waldkiefer;Pine;r6
8;Larix decidua, Larix kaempferi;Europäische Lärche, Japanische Lärche;Larch;r6
9;Abies alba;Weißtanne;Fir;r6
10;ODH;andere Laubbäume mit langer Lebensdauer;other deciduous trees with high life span;r6
11;ODL;andere Laubbäume mit geringer Lebensdauer;other deciduous trees with low life span;r6
